04:24:46:813 AWT-EventQueue-0: Build 898.3, Sep 23, 2009 5:03:56 PM
04:25:25:879 AWT-EventQueue-0: Market rule file /Users/david/lab616/third_party/java/ib-tws-898/IBJts/dbuhtmvwt/Fri.rul does not exist or is removed
Jolt logger configuration is done.
07:48:23:227 JTS-CCPPing-12: Warning: not received heartbeat at 12177000 elapsed:11000
07:49:53:234 JTS-CCPPing-12: Warning: not received heartbeat at 12267000 elapsed:11000
07:50:53:238 JTS-CCPPing-12: Warning: not received heartbeat at 12327000 elapsed:11000
07:51:33:241 JTS-CCPPing-12: Warning: not received heartbeat at 12367000 elapsed:11000
07:52:04:243 JTS-CCPPing-12: Warning: not received heartbeat at 12398000 elapsed:11000
07:53:03:247 JTS-CCPPing-12: Warning: not received heartbeat at 12457000 elapsed:11000
07:53:14:248 JTS-CCPPing-12: Warning: not received heartbeat at 12468000 elapsed:11000
07:53:43:250 JTS-CCPPing-12: Warning: not received heartbeat at 12497000 elapsed:11000
07:54:14:252 JTS-CCPPing-12: Warning: not received heartbeat at 12528000 elapsed:11000
07:56:19:249 JTS-CCPPing-12: Warning: not received heartbeat at 12653000 elapsed:11000
07:56:39:255 JTS-CCPPing-12: Warning: not received heartbeat at 12673000 elapsed:11000
07:58:53:261 JTS-CCPPing-12: Warning: not received heartbeat at 12807000 elapsed:11000
07:59:23:263 JTS-CCPPing-12: Warning: not received heartbeat at 12837000 elapsed:11000
08:00:23:266 JTS-CCPPing-12: Warning: not received heartbeat at 12897000 elapsed:11000
08:01:43:273 JTS-CCPPing-12: Warning: not received heartbeat at 12977000 elapsed:11000
08:02:03:274 JTS-CCPPing-12: Warning: not received heartbeat at 12997000 elapsed:11000
08:02:33:275 JTS-CCPPing-12: Warning: not received heartbeat at 13027000 elapsed:11000
08:03:13:281 JTS-CCPPing-12: Warning: not received heartbeat at 13067000 elapsed:11000
08:03:33:282 JTS-CCPPing-12: Warning: not received heartbeat at 13087000 elapsed:11000
08:04:53:286 JTS-CCPPing-12: Warning: not received heartbeat at 13167000 elapsed:11000
08:07:19:139 JTS-CCPPing-12: Warning: not received heartbeat at 13313000 elapsed:11000
08:07:53:141 JTS-CCPPing-12: Warning: not received heartbeat at 13347000 elapsed:11000
08:08:23:142 JTS-CCPPing-12: Warning: not received heartbeat at 13377000 elapsed:11000
08:09:13:145 JTS-CCPPing-12: Warning: not received heartbeat at 13427000 elapsed:11000
08:09:33:145 JTS-CCPPing-12: Warning: not received heartbeat at 13447000 elapsed:11000
08:11:33:150 JTS-CCPPing-12: Warning: not received heartbeat at 13567000 elapsed:11000
08:11:34:151 JTS-CCPPing-12: Warning: not received heartbeat at 13568000 elapsed:12000
08:12:13:152 JTS-CCPPing-12: Warning: not received heartbeat at 13607000 elapsed:11000
08:13:43:157 JTS-CCPPing-12: Warning: not received heartbeat at 13697000 elapsed:11000
08:14:13:158 JTS-CCPPing-12: Warning: not received heartbeat at 13727000 elapsed:11000
08:14:53:160 JTS-CCPPing-12: Warning: not received heartbeat at 13767000 elapsed:11000
08:15:13:161 JTS-CCPPing-12: Warning: not received heartbeat at 13787000 elapsed:11000
08:19:08:316 JTS-CCPPing-12: Warning: not received heartbeat at 14022000 elapsed:11000
08:19:09:316 JTS-CCPPing-12: Warning: not received heartbeat at 14023000 elapsed:12000
08:19:10:317 JTS-CCPPing-12: Warning: not received heartbeat at 14024000 elapsed:13000
08:19:11:317 JTS-CCPPing-12: Warning: not received heartbeat at 14025000 elapsed:14000
08:19:12:317 JTS-CCPPing-12: Warning: sending test request at 14026000
08:19:43:319 JTS-CCPPing-12: Warning: not received heartbeat at 14057000 elapsed:11000
08:20:13:320 JTS-CCPPing-12: Warning: not received heartbeat at 14087000 elapsed:11000
08:20:43:324 JTS-CCPPing-12: Warning: not received heartbeat at 14117000 elapsed:11000
08:21:43:329 JTS-CCPPing-12: Warning: not received heartbeat at 14177000 elapsed:11000
08:22:53:332 JTS-CCPPing-12: Warning: not received heartbeat at 14247000 elapsed:11000
08:23:13:333 JTS-CCPPing-12: Warning: not received heartbeat at 14267000 elapsed:11000
08:24:13:340 JTS-CCPPing-12: Warning: not received heartbeat at 14327000 elapsed:11000
08:24:53:342 JTS-CCPPing-12: Warning: not received heartbeat at 14367000 elapsed:11000
08:30:03:311 JTS-CCPPing-12: Warning: not received heartbeat at 14677000 elapsed:11000
08:30:53:314 JTS-CCPPing-12: Warning: not received heartbeat at 14727000 elapsed:11000
08:32:13:331 JTS-CCPPing-12: Warning: not received heartbeat at 14807000 elapsed:11000
08:33:13:335 JTS-CCPPing-12: Warning: not received heartbeat at 14867000 elapsed:11000
08:33:43:336 JTS-CCPPing-12: Warning: not received heartbeat at 14897000 elapsed:11000
08:34:03:337 JTS-CCPPing-12: Warning: not received heartbeat at 14917000 elapsed:11000
08:34:53:352 JTS-CCPPing-12: Warning: not received heartbeat at 14967000 elapsed:11000
08:35:23:354 JTS-CCPPing-12: Warning: not received heartbeat at 14997000 elapsed:11000
08:38:13:187 JTS-CCPPing-12: Warning: not received heartbeat at 15167000 elapsed:11000
08:39:23:190 JTS-CCPPing-12: Warning: not received heartbeat at 15237000 elapsed:11000
08:40:03:206 JTS-CCPPing-12: Warning: not received heartbeat at 15277000 elapsed:11000
08:40:43:208 JTS-CCPPing-12: Warning: not received heartbeat at 15317000 elapsed:11000
08:42:13:213 JTS-CCPPing-12: Warning: not received heartbeat at 15407000 elapsed:11000
08:43:23:227 JTS-CCPPing-12: Warning: not received heartbeat at 15477000 elapsed:11000
08:47:43:456 JTS-CCPPing-12: Warning: not received heartbeat at 15737000 elapsed:11000
08:48:23:474 JTS-CCPPing-12: Warning: not received heartbeat at 15777000 elapsed:11000
08:50:23:479 JTS-CCPPing-12: Warning: not received heartbeat at 15897000 elapsed:11000
08:50:24:479 JTS-CCPPing-12: Warning: not received heartbeat at 15898000 elapsed:12000
08:50:25:479 JTS-CCPPing-12: Warning: not received heartbeat at 15899000 elapsed:13000
08:50:26:479 JTS-CCPPing-12: Warning: not received heartbeat at 15900000 elapsed:14000
08:50:27:479 JTS-CCPPing-12: Warning: sending test request at 15901000
08:54:03:501 JTS-CCPPing-12: Warning: not received heartbeat at 16117000 elapsed:11000
08:54:43:502 JTS-CCPPing-12: Warning: not received heartbeat at 16157000 elapsed:11000
08:55:03:503 JTS-CCPPing-12: Warning: not received heartbeat at 16177000 elapsed:11000
08:59:13:492 JTS-CCPPing-12: Warning: not received heartbeat at 16427000 elapsed:11000
08:59:43:494 JTS-CCPPing-12: Warning: not received heartbeat at 16457000 elapsed:11000
09:00:33:496 JTS-CCPPing-12: Warning: not received heartbeat at 16507000 elapsed:11000
09:01:03:497 JTS-CCPPing-12: Warning: not received heartbeat at 16537000 elapsed:11000
09:05:33:527 JTS-CCPPing-12: Warning: not received heartbeat at 16807000 elapsed:11000
09:05:34:527 JTS-CCPPing-12: Warning: not received heartbeat at 16808000 elapsed:12000
09:05:35:527 JTS-CCPPing-12: Warning: not received heartbeat at 16809000 elapsed:13000
09:05:36:527 JTS-CCPPing-12: Warning: not received heartbeat at 16810000 elapsed:14000
09:05:37:528 JTS-CCPPing-12: Warning: sending test request at 16811000
09:08:03:481 JTS-CCPPing-12: Warning: not received heartbeat at 16957000 elapsed:11000
09:09:13:484 JTS-CCPPing-12: Warning: not received heartbeat at 17027000 elapsed:11000
09:10:13:488 JTS-CCPPing-12: Warning: not received heartbeat at 17087000 elapsed:11000
09:11:43:497 JTS-CCPPing-12: Warning: not received heartbeat at 17177000 elapsed:11000
09:18:57:624 JTS-CCPPing-12: Warning: not received heartbeat at 17611000 elapsed:11000
09:24:23:641 JTS-CCPPing-12: Warning: not received heartbeat at 17937000 elapsed:11000
09:27:37:196 JTS-usfarmDispatcher-59: nosBits overflow detected. nosBits adjusted from 34968 to 100504 based on bodyLen = 12570
09:27:37:430 JTS-usfarmDispatcher-59: nosBits overflow detected. nosBits adjusted from 59144 to 124680 based on bodyLen = 15592
09:29:03:649 JTS-CCPPing-12: Warning: not received heartbeat at 18217000 elapsed:11000
09:30:03:663 JTS-CCPPing-12: Warning: not received heartbeat at 18277000 elapsed:11000
09:30:04:663 JTS-CCPPing-12: Warning: not received heartbeat at 18278000 elapsed:12000
09:30:05:665 JTS-CCPPing-12: Warning: not received heartbeat at 18279000 elapsed:13000
09:31:16:671 JTS-CCPPing-12: Warning: not received heartbeat at 18350000 elapsed:11000
10:08:03:140 JTS-CCPPing-12: Warning: not received heartbeat at 20554000 elapsed:11000
10:09:23:204 JTS-CCPPing-12: Warning: not received heartbeat at 20634000 elapsed:11000
10:09:53:247 JTS-CCPPing-12: Warning: not received heartbeat at 20664000 elapsed:11000
10:12:03:253 JTS-CCPPing-12: Warning: not received heartbeat at 20794000 elapsed:11000
10:12:04:253 JTS-CCPPing-12: Warning: not received heartbeat at 20795000 elapsed:12000
10:14:04:316 JTS-CCPPing-12: Warning: not received heartbeat at 20915000 elapsed:11000
10:17:57:622 JTS-CCPPing-12: Warning: not received heartbeat at 21148000 elapsed:11000
10:19:53:628 JTS-CCPPing-12: Warning: not received heartbeat at 21264000 elapsed:11000
